JobCode,CostFamilyL2Code,CostFamilyL2Description,documentDate,pbsCode,pbsDescription,revisedQuantity,RevisedRate,workDoneQuantity,ActualRate,ACWP
$#18JCDE,2060,Concreting,2021-12-31 00:00:00.000,6062-2060-002,Concreting,102096.9,6162,55041.49,6394,351935287.06
$#18JCDE,2060,Concreting,2022-03-31 00:00:00.000,6062-2060-002,Concreting,102096.9,6162,58893.49,6363,386215209.81
$#18JCDE,2060,Concreting,2023-01-31 00:00:00.000,6062-2060-002,Concreting,116631.9,6645,85038.07,6219,528851757.33
$#18JCDE,2060,Concreting,2023-08-31 00:00:00.000,6062-2060-002,Concreting,116631.9,6538,96511.07,6033,582251285.31
$#18JCDE,2060,Concreting,2023-10-31 00:00:00.000,6062-2060-002,Concreting,116631.9,6534,99091.07,6029,597420061.03
$#18JCDE,2060,Concreting,2023-12-31 00:00:00.000,6062-2060-002,Concreting,116631.9,6355,103006.07,6094,627718990.58
$#18JCDE,2060,Concreting,2024-08-31 00:00:00.000,6062-2060-002,Concreting,116631.9,5982,111336.07,5992,667125731.44
$#18JCDE,2190,Plastering,2019-04-30 00:00:00.000,6066-2190-001,Plastering,7851,261,3352.68,245,821406.6
$#18JCDE,2190,Plastering,2019-06-30 00:00:00.000,6066-2190-001,Plastering,7851,261,3522.68,200,704536
$#18JCDE,2040,Anti Termite/Weed Treatment,2019-02-28 00:00:00.000,6080-2040-001,Anti Termite Treatment,12746.97,50,4995,50,249750
$#18JCDE,2040,Anti Termite/Weed Treatment,2019-04-30 00:00:00.000,6080-2040-001,Anti Termite Treatment,12746.97,50,4995,50,249750
$#18JCDE,2040,Anti Termite/Weed Treatment,2019-06-30 00:00:00.000,6080-2040-001,Anti Termite Treatment,12746.97,50,4995,50,249750
$#18JCDE,2110,Formwork,2019-02-28 00:00:00.000,6063-2110-003,Aluminium Formwork,9674309.89,85,57174.16,339,19382040.24
$#17JCDE,2060,Concreting,2018-11-30 00:00:00.000,6062-2060-002,Concreting,360597,4119,8709,4044,35219196
$#17JCDE,2060,Concreting,2019-02-28 00:00:00.000,6062-2060-002,Concreting,360597,4119,29205,3528,103035240
$#17JCDE,2060,Concreting,2019-04-30 00:00:00.000,6062-2060-002,Concreting,360597,4119,43960,3843,168938280
$#17JCDE,2060,Concreting,2019-06-30 00:00:00.000,6062-2060-002,Concreting,360597,4119,53692,4177,224271484
$#17JCDE,2060,Concreting,2020-01-31 00:00:00.000,6062-2060-002,Concreting,360597,4119,129138.65,3797,490339454.05
$#17JCDE,2060,Concreting,2020-02-29 00:00:00.000,6062-2060-002,Concreting,360597,4119,141421.65,3844,543624822.6
$#18JCDE,2110,Formwork,2019-12-31 00:00:00.000,6063-2110-003,Aluminium Formwork,9674309.89,85,222053.06,425,143594312.13
$#17JCDE,2060,Concreting,2020-04-30 00:00:00.000,6062-2060-002,Concreting,360597,4119,141421.65,3844,567084086.9
$#18JCDE,2110,Formwork,2019-08-31 00:00:00.000,6063-2110-003,Aluminium Formwork,208421.92,403,107780.13,316,34058521.08
$#18JCDE,2110,Formwork,2019-10-31 00:00:00.000,6063-2110-003,Aluminium Formwork,208421.92,403,107780.13,342,36860804.46
$#18JCDE,2110,Formwork,2019-12-31 00:00:00.000,6063-2110-003,Aluminium Formwork,208421.92,403,118682.35,329,39046493.15
$#19JCDE,2110,Formwork,2022-06-30 00:00:00.000,6063-2110-002,L&T Formwork,252622.41,863,49631.96,1016,50426071.36
$#18JCDE,2010,Earthwork,2019-08-31 00:00:00.000,6061-2010-001,Excavation (in all types of soils),89263.69,244,36855,182,6707610
$#18JCDE,2010,Earthwork,2019-10-31 00:00:00.000,6061-2010-001,Excavation (in all types of soils),89263.69,244,36855,167,6154785
$#18JCDE,2010,Earthwork,2019-12-31 00:00:00.000,6061-2010-001,Excavation (in all types of soils),89263.69,244,36855,171,6302205
$#19JCDE,2110,Formwork,2023-01-31 00:00:00.000,6063-2110-002,L&T Formwork,252622.41,863,59689.43,1399,83505512.57
$#18JCDE,2010,Earthwork,2021-06-30 00:00:00.000,6061-2010-001,Excavation (in all types of soils),89263.69,244,36855,151,5565105
$#18JCDE,2110,Formwork,2018-12-31 00:00:00.000,6063-2110-003,Aluminium Formwork,398608.04,341,53500,341,18243500
$#19JCDE,2110,Formwork,2023-08-31 00:00:00.000,6063-2110-002,L&T Formwork,131916.41,1096,81937.43,1310,107338033.3
$#19JCDE,2110,Formwork,2023-10-31 00:00:00.000,6063-2110-002,L&T Formwork,131916.41,1140,91083.43,1197,109026865.71
$#18JCDE,2110,Formwork,2020-08-31 00:00:00.000,6063-2110-003,Aluminium Formwork,208421.92,403,144646.31,357,51638732.67
$#18JCDE,2110,Formwork,2020-10-31 00:00:00.000,6063-2110-003,Aluminium Formwork,208421.92,440,144646.31,315,45563587.65
